index,Singleplayer,Indie,Adventure,Action,Casual,Simulation,2D,RPG,Story Rich,Strategy,Atmospheric,3D,Exploration,Early Access,Multiplayer,Fantasy,First-Person,Colorful,Anime,Cute,Puzzle,Female Protagonist,Open World,Sci-fi,Pixel Graphics,Funny,Action-Adventure,Shooter,Third Person,Sandbox
752590,451,0,697,365,0,0,0,0,819,0,494,0,0,0,0,0,0,0,0,0,190,558,0,0,0,0,0,0,362,0
815370,745,0,703,874,0,563,0,0,0,0,562,0,575,0,1408,0,560,0,0,0,0,0,1016,0,0,0,421,0,0,568
1238860,200,0,0,165,0,0,0,0,38,28,0,0,0,0,266,0,146,0,0,0,0,0,37,0,0,0,0,207,0,0
1237950,299,0,207,295,0,0,0,0,0,0,0,0,0,0,396,0,214,0,0,0,0,0,0,279,0,0,0,311,206,0
213670,775,0,1521,737,0,0,580,2527,304,0,0,0,0,0,0,283,0,0,0,0,0,0,349,0,0,1411,0,0,0,0
298110,772,0,1031,1391,0,0,0,291,507,0,598,0,479,0,1024,0,964,0,0,0,0,0,1855,0,0,0,0,1018,0,319
2399830,479,0,631,594,0,0,0,365,0,0,0,0,0,855,644,363,0,0,0,0,0,0,725,364,0,0,0,0,0,550
838350,175,182,152,0,142,145,56,340,0,215,0,0,0,179,0,0,0,0,44,0,0,0,238,0,0,0,0,0,0,263
234140,764,0,635,1161,0,0,0,315,372,0,480,0,539,0,300,0,0,0,0,0,0,0,1381,0,0,0,0,312,670,333
648350,443,0,88,133,92,686,0,0,0,563,145,0,0,0,118,0,0,0,0,0,0,0,193,247,0,0,0,0,0,477
466560,894,0,0,0,0,1788,0,0,0,1858,0,0,0,0,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274190,0,653,352,1058,278,0,835,0,0,0,0,0,0,0,701,0,0,0,0,0,0,0,0,0,916,455,0,526,0,0
246620,834,1068,0,0,609,1741,256,0,0,2160,245,0,0,219,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226
285900,677,671,0,0,986,0,0,0,0,0,0,0,0,0,1418,0,0,1197,0,0,0,0,0,0,0,1660,0,0,680,0
33230,418,0,661,860,0,0,0,0,450,0,256,0,0,0,216,0,0,0,0,0,0,0,761,99,0,0,232,0,558,120
629730,156,120,135,243,0,184,0,124,0,0,0,0,0,131,0,155,161,0,0,0,0,0,0,0,0,0,0,0,0,226
219640,0,377,0,1067,0,201,0,0,0,0,226,0,0,0,1176,0,874,0,0,0,0,0,0,0,0,0,0,0,357,0
680420,81,0,161,175,0,0,0,194,14,0,0,0,0,0,135,0,0,0,0,0,0,0,61,72,0,0,0,84,56,0
602960,207,0,0,290,0,403,458,0,0,309,0,0,0,147,596,0,0,0,0,0,0,0,0,397,0,0,0,0,0,0
1203620,511,411,528,469,0,0,0,548,0,0,0,431,518,493,643,486,0,0,0,0,0,0,738,0,0,0,0,0,0,479
645630,320,0,0,0,0,793,0,0,0,68,0,0,0,0,292,0,260,0,0,0,0,0,156,0,0,0,0,0,0,180
728880,139,305,0,257,478,130,0,0,0,113,0,0,0,0,726,0,0,111,0,220,0,0,0,0,0,414,0,0,0,0
